Study GUID,Reference,,,,,,,
CG66ST240,"237 Strippoli GF, Bonifati C, Craig M et al. Angiotensin converting enzyme inhibitors and angiotensin II receptor antagonists for preventing the progression of diabetic kidney disease. Cochrane Database of Systematic Reviews 2006;(4):CD006257.",,,,,,,
CG66ST241,"238 Casas JP, Chua W, Loukogeorgakis S et al. Effect of inhibitors of the renin-angiotensin system and other antihypertensive drugs on renal outcomes: systematic review and meta-analysis. Lancet 2005;366(9502): 20262033.",,,,,,,
CG66ST242,"239 Mann JF, Gerstein HC, Yi QL et al. Progression of renal insufficiency in type 2 diabetes with and without microalbuminuria: results of the Heart Outcomes and Prevention Evaluation (HOPE) randomized study. American Journal of Kidney Diseases 2003;42(5):936942.",,,,,,,
CG66ST243,"240 Mann JF, Gerstein HC, Yi QL et al. Development of renal disease in people at high cardiovascular risk: results of the HOPE randomized study. Journal of the American Society of Nephrology 2003;14(3):641647.",,,,,,,
CG66ST244,241 Bosch J. Long-term effects of ramipril on cardiovascular events and on diabetes: results of the HOPE study extension. Circulation 2005;112(9):13391346.,,,,,,,
CG66ST245,"242 Barnett AH, Bain SC, Bouter P et al. Angiotensin-receptor blockade versus converting-enzyme inhibition in type 2 diabetes and nephropathy. New England Journal of Medicine 2004;351(19):19521961.",,,,,,,
CG66ST246,"243  Sengul AM, Altuntas Y, Kurklu A et al. Beneficial effect of lisinopril plus telmisartan in patients with type 2 diabetes, microalbuminuria and hypertension. Diabetes Research & Clinical Practice 2006;71(2):210219.",,,,,,,
CG66ST247,"244 Dalla VM, Pozza G, Mosca A et al. Effect of lercanidipine compared with ramipril on albumin excretion rate in hypertensive type 2 diabetic patients with microalbuminuria: DIAL study (diabete, ipertensione, albuminuria, lercanidipina). Diabetes, Nutrition & Metabolism  Clinical & Experimental 2004;17(5):259266.",,,,,,,
CG66ST248,"245 Fogari R, Preti P, Zoppi A et al. Effects of amlodipine fosinopril combination on microalbuminuria in hypertensive type 2 diabetic patients. American Journal of Hypertension 2002;15(12):10421049.",,,,,,,
CG66ST249,"246 Ruggenenti P, Perna A, Ganeva M et al. Impact of blood pressure control and angiotensin-converting enzyme inhibitor therapy on new-onset microalbuminuria in type 2 diabetes: a post hoc analysis of the BENEDICT trial. Journal of the American Society of Nephrology 2006;17(12):34723481.",,,,,,,
CG66ST250,"247 Whelton PK, Barzilay J, Cushman WC et al. Clinical outcomes in antihypertensive treatment of type 2 diabetes, impaired fasting glucose concentration, and normoglycemia: Antihypertensive and Lipid-Lowering Treatment to Prevent Heart Attack Trial (ALLHAT). Archives of Internal Medicine 2005;165(12): 14011409.",,,,,,,
CG66ST251,"248 Fernandez R, Puig JG, Rodriguez PJ et al. Effect of two antihypertensive combinations on metabolic control in type-2 diabetic hypertensive patients with albuminuria: a randomised, double-blind study. Journal of Human Hypertension 2001;15(12):849856.",,,,,,,
CG66ST252,"249 Holzgreve H, Nakov R, Beck K et al. Antihypertensive therapy with verapamil SR plus trandolapril versus atenolol plus chlorthalidone on glycemic control. American Journal of Hypertension 2003;16(5:Pt 1):381386.",,,,,,,
CG66ST253,"250 Derosa G, Cicero AF, Gaddi A et al. Effects of doxazosin and irbesartan on blood pressure and metabolic control in patients with type 2 diabetes and hypertension. Journal of Cardiovascular Pharmacology 2005;45(6):599604.",,,,,,,
CG66ST254,"251 Derosa G, Cicero AF, Bertone G et al. Comparison of the effects of telmisartan and nifedipine gastrointestinal therapeutic system on blood pressure control, glucose metabolism, and the lipid profile in patients with type 2 diabetes mellitus and mild hypertension: a 12-month, randomized, double-blind study. Clinical Therapeutics 2004;26(8):12281236.",,,,,,,
CG66ST255,"252 Viberti G, Wheeldon NM, MicroAlbuminuria Reduction With VALsartan (MARVAL) Study Investigators. Microalbuminuria reduction with valsartan in patients with type 2 diabetes mellitus: a blood pressure-independent effect. Circulation 2002;106(6):672678.",,,,,,,
CG66ST256,"253 Appel GB, Radhakrishnan J, Avram MM et al. Analysis of metabolic parameters as predictors of risk in the RENAAL study. Diabetes Care 2003;26(5):14021407.",,,,,,,
CG66ST257,"254 Remuzzi G, Ruggenenti P, Perna A et al. Continuum of renoprotection with losartan at all stages of type 2 diabetic nephropathy: a post hoc analysis of the RENAAL trial results. Journal of the American Society of Nephrology 2004;15(12):31173125.",,,,,,,
CG66ST258,"255 Andersen S, Brchner-Mortensen J, Parving HH et al. Kidney function during and after withdrawal of long-term irbesartan treatment in patients with type 2 diabetes and microalbuminuria. Diabetes Care 2003;26(12):32963302.",,,,,,,
CG66ST259,"256 Lindholm LH, Ibsen H. Cardiovascular morbidity and mortality in patients with diabetes in the Losartan Intervention For Endpoint reduction in hypertension study (LIFE): a randomised trial against atenolol. Lancet 2002;359(9311):10041010.",,,,,,,
CG66ST260,"257 Lewis EJ, Hunsicker LG, Clarke WR et al. Renoprotective effect of the angiotensin-receptor antagonist irbesartan in patients with nephropathy due to type 2 diabetes. New England Journal of Medicine 2001; 345(12):851860.",,,,,,,
CG66ST261,"258 Zanchetti A, Julius S, Kjeldsen S et al. Outcomes in subgroups of hypertensive patients treated with regimens based on valsartan and amlodipine: an analysis of findings from the VALUE trial. Journal of Hypertension 2006;24(11):21632168.",,,,,,,
CG66ST262,"259 Pepine CJ, Handberg EM, Cooper-DeHoff RM et al. A calcium antagonist vs a non-calcium antagonist hypertension treatment strategy for patients with coronary artery disease. The International Verapamil- Trandolapril Study (INVEST): a randomized controlled trial. The Journal of the American Medical Association 2003;290(21):28052816.",,,,,,,
CG66ST263,"260 Bakris GL, Fonseca V. Metabolic effects of carvedilol vs metoprolol in patients with type 2 diabetes mellitus and hypertension: a randomized controlled trial. The Journal of the American Medical Association 2004;292(18):22272236.",,,,,,,
CG66ST264,"261 Black HR, Elliott WJ, Grandits G et al. Principal results of the Controlled Onset Verapamil Investigation of Cardiovascular End Points (CONVINCE) trial. The Journal of the American Medical Association 2003; 289(16):20732082.",,,,,,,
CG66ST265,"262 Dahlf B. Prevention of cardiovascular events with an antihypertensive regimen of amlodipine adding perindopril as required versus atenolol adding bendroflumethiazide as required, in the Anglo-Scandinavian Cardiac Outcomes Trial-Blood Pressure Lowering Arm (ASCOT-BPLA): a multicentre randomised controlled trial. Lancet 2005;366(9489):895906.",,,,,,,
CG66ST266,"263 Beard SM, Gaffney L, Backhouse ME. An economic evaluation of ramipril in the treatment of patients at high risk for cardiovascular events due to diabetes mellitus (structured abstract). Journal of Medical Economics  2001;4:199205.",,,,,,,
CG66ST267,"264 Schadlich PK, Brecht JG, Rangoonwala B et al. Cost effectiveness of ramipril in patients at high risk for cardiovascular events: economic evaluation of the HOPE (Heart Outcomes Prevention Evaluation) study for Germany from the Statutory Health Insurance perspective. Pharmacoeconomics 2004;22(15):955973.",,,,,,,
CG66ST268,"265 Gray A, Clarke P, Raikou M et al. An economic evaluation of atenolol vs. captopril in patients with type 2 diabetes (UKPDS 54). Diabetic Medicine 2001;18(6):438444.",,,,,,,
CG66ST269,"266 Palmer AJ, Annemans L, Roze S et al. An economic evaluation of the Irbesartan in Diabetic Nephropathy Trial (IDNT) in a UK setting. Journal of Human Hypertension 2004;18:733738.",,,,,,,
CG66ST270,"267 Rodby RA, Chiou CF, Borenstein J et al. The cost-effectiveness of irbesartan in the treatment of hypertensive patients with type 2 diabetic nephropathy. Clinical Therapeutics 2003;25(7):21022119.",,,,,,,
CG66ST271,"268 Coyle D, Rodby RA. Economic evaluation of the use of irbesartan and amlodipine in the treatment of diabetic nephropathy in patients with hypertension in Canada. Canadian  Journal  of  Cardiology 2004;20(1):7179.",,,,,,,
CG66ST272,"269 Vora J, Carides G, Robinson P. Effects of losartan-based therapy on the incidence of end-stage renal disease and associated costs in type 2 diabetes mellitus: A retrospective cost-effectiveness analysis in the United Kingdom. Current Therapeutic Research, Clinical & Experimental 2005;66(6):475485.",,,,,,,
CG66ST273,"270 Smith DG, Nguyen AB, Peak CN et al. Markov modeling analysis of health and economic outcomes of therapy with valsartan versus amlodipine in patients with type 2 diabetes and microalbuminuria. Journal of Managed Care Pharmacy 2004;10(1):2632.",,,,,,,
CG66ST274,271 International currency rates. Available from: Financial Times. Last accessed on: 13 March 2007.,,,,,,,
CG66ST275,"272 National Institute for Health and Clinical Excellence. Hypertension: management of hypertension in adults in primary care (CG34). London: NICE, 2006.",,,,,,,
CG66ST276,"273 Haffner SM, Lehto S, Ronnemaa T et al. Mortality from coronary heart disease in subjects with type 2 diabetes and in nondiabetic subjects with and without prior myocardial infarction. New England Journal of Medicine 1998;339(4):229234.",,,,,,,
CG66ST277,"274 Eddy DM, Schlessinger L. Validation of the archimedes diabetes model. Diabetes Care 2003;26(11): 31023110.",,,,,,,
CG66ST278,"275 Song SH, Brown PM. Coronary heart disease risk assessment in diabetes mellitus: comparison of UKPDSrisk engine with Framingham risk assessment function and its clinical implications. Diabetic Medicine 2004;21(3):238245. ",,,,,,,
CG66ST280,"276 Stephens JW, Ambler G, Vallance P et al. Cardiovascular risk and diabetes. Are the methods of risk prediction satisfactory? European Journal of Cardiovascular Prevention and Rehabilitation 2004;11(6): 521528.",,,,,,,
CG66ST281,"277 Guzder RN, Gatling W, Mullee MA et al. Prognostic value of the Framingham cardiovascular risk equation and the UKPDS risk engine for coronary heart disease in newly diagnosed type 2 diabetes: results from a United Kingdom study. Diabetic Medicine 2005;22(5):554562.",,,,,,,
CG66ST282,"278 Coleman RL, Stevens RJ, Renakaran R et al. Framington, SCORE and DECODE do not provide reliable cardiovascular risk estimates in type 2 diabetes. Diabetes Care 2007;30(5):12921293.",,,,,,,
CG66ST283,"279 Stevens RJ, Kothari V, Adler AI et al. The UKPDS risk engine: a model for the risk of coronary heart disease in type II diabetes (UKPDS 56). Clinical Science 2001;101(6):671679.",,,,,,,
CG66ST284,"280 Tuomilehto J, Rastenyte D. Epidemiology of macrovascular disease and hypertension in diabetes mellitus. International textbook of diabetes mellitus, 2nd edn. Chichester: John Wiley, 1997: 15591583.",,,,,,,
CG66ST285,"281 Baigent C, Keech A, Kearney PM et al. Efficacy and safety of cholesterol-lowering treatment: prospective meta-analysis of data from 90,056 participants in 14 randomised trials of statins. Lancet 2005;366(9493): 12671278.",,,,,,,
CG66ST286,"282 Vijan S, Hayward RA, American College of Physicians. Pharmacologic lipid-lowering therapy in type 2 diabetes mellitus: background paper for the American College of Physicians. Annals of Internal Medicine 2004;140(8):650658.",,,,,,,
CG66ST287,"283 National Institute for Health and Clinical Excellence. Statins for the prevention of cardiovascular events in patients at increased risk of developing cardiovascular disease or those with established cardiovascular disease (TA94). London: NICE, 2006.",,,,,,,
CG66ST288,"284 National Institute for Health and Clinical Excellence. Ezetimibe for the treatment of primary (heterozygous familial and non-familial) hypercholesterolaemia (TA132). London: NICE, 2007.",,,,,,,
CG66ST289,"285 Insull W, Kafonek S, Goldner D et al. Comparison of efficacy and safety of atorvastatin (10mg) with simvastatin (10mg) at six weeks. ASSET Investigators. American Journal of Cardiology 2001;87(5):554559.",,,,,,,
CG66ST290,"286 van Venrooij FV, van de Ree MA, Bots ML et al. Aggressive lipid lowering does not improve endothelial function in type 2 diabetes: the Diabetes Atorvastatin Lipid Intervention (DALI) Study: a randomized, double-blind, placebo-controlled trial. Diabetes Care 2002;25(7):12111216.",,,,,,,
CG66ST291,"287 Miller M, Dobs A, Yuan Z et al. Effectiveness of simvastatin therapy in raising HDL-C in patients with type 2 diabetes and low HDL-C. Current Medical Research & Opinion 2004;20(7):10871094.",,,,,,,
CG66ST292,"288 Berne C, Siewert DA, URANUS study investigators. Comparison of rosuvastatin and atorvastatin for lipid lowering in patients with type 2 diabetes mellitus: results from the URANUS study. Cardiovascular Diabetology 2005;4:7.",,,,,,,
CG66ST293,"289 Colhoun HM, Betteridge DJ, Durrington PN et al. Rapid emergence of effect of atorvastatin on cardiovascular outcomes in the Collaborative Atorvastatin Diabetes Study (CARDS). Diabetologia 2005;48(12):24822485.",,,,,,,
CG66ST294,"290 Sever PS, Poulter NR, Dahlof B et al. Reduction in cardiovascular events with atorvastatin in 2,532 patients with type 2 diabetes: Anglo-Scandinavian Cardiac Outcomes Trial  lipid-lowering arm (ASCOT-LLA). Diabetes Care 2005;28(5):11511157.",,,,,,,
CG66ST295,"291 Shepherd J, Barter P, Carmena R et al. Effect of lowering LDL cholesterol substantially below currently recommended levels in patients with coronary heart disease and diabetes: the Treating to New Targets (TNT) study. Diabetes Care 2006;29(6):12201226.",,,,,,,
CG66ST296,"292 Steiner G, Hamsten A, Hosking J et al. Effect of fenofibrate on progression of coronary-artery disease in type 2 diabetes: the Diabetes Atherosclerosis Intervention Study, a randomised study. Lancet 2001; 357(9260):905910.",,,,,,,
CG66ST297,"293 Vakkilainen J, Steiner G, Ansquer JC et al. Relationships between low-density lipoprotein particle size, plasma lipoproteins, and progression of coronary artery disease: the Diabetes Atherosclerosis Intervention Study (DAIS). Circulation 2003;107(13):17331737.",,,,,,,
CG66ST298,"294 Keech A, Simes R, Barter P et al. Effects of longterm fenofibrate therapy on cardiovascular events in 9795 people with type 2 diabetes mellitus (the FIELD study): Randomised controlled trial. Lancet 2005; 366(9500):18491861.",,,,,,,
CG66ST299,"295 Derosa G, Cicero AE, Bertone G et al. Comparison of fluvastatin + fenofibrate combination therapy and fluvastatin monotherapy in the treatment of combined hyperlipidemia, type 2 diabetes mellitus, and coronary heart disease: a 12-month, randomized, double-blind, controlled trial. Clinical Therapeutics 2004;26(10):15991607.",,,,,,,
CG66ST300,"296 Athyros VG, Papageorgiou VV, Athyrou DS et al. Atorvastatin and micronized fenofibrate alone and in combination, in type-2 diabetes mellitus with combined hyperlipidemia. Atherosclerosis 2002;3(2):70.",,,,,,,
